word,frequency,rank
said,1451,1
thou,953,2
will,736,3
thy,578,4
de,575,5
no,550,6
knight,549,7
upon,499,8
one,463,9
thee,454,10
more,425,11
than,411,12
all,407,13
she,348,14
well,340,15
cedric,339,16
may,326,17
good,309,18
own,307,19
now,300,20
rebecca,300,21
some,294,22
saxon,293,23
shall,290,24
himself,280,25
master,274,26
should,271,27
man,265,28
other,259,29
yet,257,30
answered,250,31
prince,248,32
must,241,33
jew,239,34
even,222,35
us,217,36
front,215,37
men,213,38
might,210,39
bracy,210,40
john,205,41
most,203,42
bœuf,203,43
two,202,44
time,197,45
like,197,46
templar,196,47
same,193,48
castle,191,49
replied,191,50
father,187,51
gurth,181,52
let,181,53
hand,180,54
only,180,55
isaac,179,56
whose,179,57
sir,179,58
order,178,59
ivanhoe,178,60
art,175,61
guilbert,174,62
bois,174,63
wamba,170,64
athelstane,169,65
much,169,66
without,169,67
any,169,68
long,166,69
rowena,166,70
hath,163,71
made,162,72
holy,160,73
day,159,74
each,159,75
king,157,76
name,156,77
noble,155,78
prior,151,79
lady,150,80
head,146,81
richard,145,82
many,145,83
very,143,84
say,142,85
thus,141,86
take,140,87
place,138,88
black,137,89
know,137,90
hast,136,91
every,134,92
think,132,93
better,132,94
brother,132,95
lists,131,96
part,131,97
god,130,98
grand,129,99
little,126,100
arms,126,101
see,125,102
great,125,103
though,125,104
seemed,124,105
norman,122,106
old,121,107
too,120,108
horse,118,109
found,116,110
give,116,111
knights,116,112
make,115,113
thine,115,114
never,115,115
return,114,116
ye,114,117
however,114,118
both,113,119
since,113,120
tell,112,121
among,110,122
life,109,123
first,109,124
saint,109,125
within,107,126
daughter,107,127
come,105,128
eyes,104,129
fair,104,130
friend,104,131
around,102,132
left,101,133
friar,101,134
england,99,135
death,98,136
purpose,98,137
love,98,138
go,97,139
blood,97,140
way,96,141
also,95,142
voice,94,143
called,94,144
present,94,145
honour,93,146
hands,93,147
ever,93,148
mine,92,149
high,91,150
side,91,151
brian,91,152
still,91,153
true,90,154
best,89,155
another,87,156
far,87,157
indeed,86,158
heard,85,159
half,85,160
means,83,161
therefore,83,162
three,82,163
heaven,81,164
heart,81,165
hermit,81,166
rather,81,167
hold,80,168
less,80,169
back,80,170
free,80,171
find,79,172
champion,79,173
already,79,174
placed,79,175
fear,79,176
night,78,177
poor,78,178
sword,78,179
save,78,180
right,78,181
leave,78,182
wilt,77,183
few,77,184
ere,77,185
apartment,77,186
battle,77,187
strong,77,188
least,76,189
person,76,190
look,76,191
whole,75,192
jewess,75,193
malvoisin,74,194
english,74,195
son,73,196
lance,73,197
trust,73,198
forth,72,199
armour,72,200
nothing,71,201
st,71,202
gave,71,203
enough,71,204
nay,70,205
wilfred,70,206
added,70,207
continued,70,208
wine,70,209
others,70,210
fate,70,211
locksley,69,212
exclaimed,69,213
speak,69,214
presence,69,215
seen,68,216
soon,68,217
use,68,218
shalt,68,219
jester,68,220
neither,68,221
language,68,222
priest,67,223
chapter,67,224
hall,67,225
york,67,226
ancient,67,227
power,66,228
moment,66,229
people,66,230
stood,65,231
took,65,232
small,65,233
reverend,65,234
word,65,235
christian,65,236
towards,65,237
cannot,64,238
dost,64,239
race,64,240
held,64,241
disinherited,64,242
done,64,243
fitzurse,64,244
yeoman,64,245
gold,63,246
character,63,247
forest,62,248
beauty,62,249
lay,62,250
words,62,251
large,62,252
house,61,253
feet,61,254
general,61,255
pleasure,61,256
taken,61,257
ay,60,258
round,60,259
land,60,260
mind,60,261
hear,59,262
light,59,263
received,59,264
known,59,265
temple,58,266
attendants,58,267
set,58,268
answer,58,269
brought,58,270
full,58,271
d,58,272
fool,57,273
companion,57,274
country,57,275
forward,57,276
ransom,57,277
ground,57,278
together,57,279
cause,57,280
put,57,281
last,56,282
tone,55,283
lord,55,284
maiden,55,285
door,55,286
length,55,287
silver,55,288
sort,54,289
end,54,290
waldemar,54,291
keep,54,292
hundred,54,293
short,54,294
strength,54,295
new,53,296
form,53,297
stand,53,298
call,53,299
evil,53,300
saxons,53,301
point,52,302
aid,52,303
courtesy,52,304
field,52,305
four,52,306
away,52,307
times,52,308
walls,52,309
open,51,310
abbot,51,311
body,51,312
outlaw,51,313
service,51,314
matter,50,315
appearance,50,316
pray,50,317
deep,50,318
bow,50,319
state,49,320
bear,49,321
thought,49,322
prisoner,49,323
necessary,49,324
war,48,325
work,48,326
hope,48,327
cross,48,328
brethren,48,329
several,48,330
church,48,331
whether,48,332
mark,48,333
pay,47,334
bring,47,335
behind,47,336
canst,47,337
came,47,338
none,47,339
fire,47,340
given,47,341
proud,47,342
yeomen,47,343
although,46,344
favour,46,345
followers,46,346
thyself,46,347
grace,46,348
second,46,349
party,46,350
turned,46,351
led,46,352
palmer,45,353
features,45,354
advantage,45,355
turn,45,356
spoke,45,357
besides,45,358
dress,45,359
just,45,360
course,45,361
perhaps,44,362
used,44,363
scarce,44,364
saying,44,365
aymer,44,366
shield,44,367
returned,43,368
formed,43,369
brave,43,370
rest,43,371
force,43,372
till,43,373
preceptor,43,374
lion,43,375
interest,43,376
beaumanoir,43,377
rendered,43,378
days,43,379
kind,43,380
yonder,43,381
looked,43,382
cast,42,383
passed,42,384
instantly,42,385
betwixt,42,386
bold,42,387
safety,42,388
saw,42,389
gallant,42,390
dark,42,391
author,41,392
friends,41,393
valour,41,394
next,41,395
near,41,396
danger,41,397
court,41,398
broken,41,399
peace,41,400
worthy,41,401
table,41,402
alone,41,403
cup,41,404
followed,41,405
manner,41,406
fight,41,407
horn,41,408
die,41,409
wounded,41,410
escape,41,411
ready,41,412
remained,41,413
coningsburgh,40,414
somewhat,40,415
rank,40,416
pilgrim,40,417
note,40,418
according,40,419
care,40,420
follow,40,421
countenance,40,422
eye,40,423
lost,39,424
something,39,425
wild,39,426
close,39,427
wealth,39,428
appeared,39,429
outlaws,39,430
rich,39,431
dog,39,432
road,39,433
knowest,39,434
certain,39,435
fathers,39,436
staff,39,437
horses,39,438
share,39,439
period,39,440
tournament,39,441
spectators,39,442
reason,39,443
rude,38,444
devil,38,445
age,38,446
spoken,38,447
circumstances,38,448
earl,38,449
companions,38,450
captain,38,451
woman,38,452
entered,38,453
soul,38,454
chivalry,38,455
wish,38,456
white,37,457
courage,37,458
raised,37,459
blow,37,460
stranger,37,461
face,37,462
lower,37,463
o,37,464
nevertheless,37,465
space,37,466
ashby,37,467
company,37,468
show,36,469
persons,36,470
templars,36,471
looking,36,472
baron,36,473
sound,36,474
instant,36,475
green,36,476
case,36,477
story,36,478
began,36,479
making,36,480
leader,36,481
fellow,36,482
banquet,36,483
dunstan,36,484
ten,35,485
prize,35,486
manners,35,487
single,35,488
combat,35,489
normans,35,490
seat,35,491
dear,35,492
nobles,35,493
distinguished,35,494
preceptory,35,495
journey,35,496
reader,34,497
six,34,498
morning,34,499
taking,34,500
former,34,501
vain,34,502
accordingly,34,503
skill,34,504
tower,34,505
ask,34,506
ill,34,507
receive,34,508
foot,34,509
youth,34,510
earth,34,511
encounter,34,512
remain,34,513
air,34,514
probably,34,515
charge,34,516
longer,34,517
duty,34,518
knave,34,519
hour,34,520
laws,33,521
degree,33,522
help,33,523
natural,33,524
jewish,33,525
steed,33,526
chief,33,527
reply,33,528
royal,33,529
bearing,33,530
damsel,33,531
reginald,33,532
pass,33,533
defence,33,534
silence,33,535
tale,33,536
faithful,33,537
hard,33,538
valiant,33,539
render,33,540
opened,33,541
monk,32,542
quarter,32,543
spirit,32,544
knows,32,545
altogether,32,546
world,32,547
iron,32,548
ear,32,549
faith,32,550
prisoners,32,551
almost,32,552
chamber,32,553
low,32,554
jest,32,555
unless,32,556
violence,32,557
guest,32,558
hither,32,559
wall,32,560
grey,32,561
knew,32,562
deed,32,563
truth,32,564
supposed,32,565
subjects,32,566
wood,31,567
dogs,31,568
bound,31,569
step,31,570
sun,31,571
farther,31,572
attention,31,573
unto,31,574
went,31,575
told,31,576
delivered,31,577
rescue,31,578
nature,31,579
mean,31,580
meet,31,581
protection,31,582
fame,31,583
clerk,31,584
judge,31,585
throne,31,586
cap,31,587
water,31,588
guests,30,589
extremity,30,590
steel,30,591
act,30,592
train,30,593
otherwise,30,594
gate,30,595
tree,30,596
occasion,30,597
send,30,598
palestine,30,599
dead,30,600
read,30,601
merry,30,602
subject,30,603
conrade,30,604
shame,30,605
crown,30,606
ulrica,30,607
