word,frequency,rank
leonard,1030,1
she,919,2
said,708,3
will,679,4
otter,576,5
now,543,6
juanna,508,7
no,483,8
all,477,9
upon,437,10
one,388,11
man,370,12
more,363,13
us,309,14
must,292,15
answered,292,16
soa,276,17
people,269,18
some,266,19
should,262,20
shall,258,21
men,254,22
baas,244,23
see,240,24
come,237,25
great,221,26
may,220,27
like,219,28
well,211,29
time,207,30
though,207,31
know,205,32
little,198,33
nam,198,34
hand,198,35
go,194,36
other,190,37
two,184,38
than,184,39
also,182,40
himself,179,41
dwarf,178,42
indeed,176,43
back,176,44
face,172,45
very,169,46
came,165,47
white,164,48
might,164,49
place,164,50
still,163,51
first,160,52
last,158,53
woman,158,54
eyes,158,55
only,158,56
never,156,57
let,156,58
olfan,155,59
dead,152,60
priest,152,61
say,151,62
francisco,150,63
much,149,64
many,148,65
saw,146,66
shepherdess,143,67
went,141,68
gods,141,69
any,140,70
water,138,71
night,138,72
made,135,73
yet,134,74
mist,134,75
think,134,76
death,133,77
own,132,78
priests,132,79
life,131,80
good,130,81
nothing,130,82
stone,126,83
thought,126,84
head,125,85
away,125,86
till,123,87
stood,123,88
tell,122,89
way,121,90
snake,118,91
day,118,92
side,117,93
even,117,94
love,115,95
father,115,96
done,114,97
take,112,98
heart,111,99
ye,111,100
left,111,101
look,109,102
yes,108,103
found,108,104
another,107,105
gone,107,106
slave,106,107
looked,106,108
god,106,109
make,105,110
moment,104,111
outram,103,112
heard,102,113
words,102,114
die,102,115
without,101,116
perhaps,100,117
feet,100,118
long,100,119
black,100,120
passed,99,121
spoke,98,122
thus,98,123
among,97,124
hands,97,125
took,97,126
told,96,127
put,95,128
knew,95,129
fear,94,130
speak,94,131
find,94,132
turned,94,133
voice,94,134
towards,93,135
mind,92,136
years,92,137
enough,92,138
alone,91,139
light,91,140
beneath,90,141
old,89,142
better,89,143
land,88,144
give,88,145
none,88,146
seemed,87,147
most,86,148
deliverer,86,149
seen,86,150
ever,84,151
asked,83,152
matter,83,153
far,83,154
three,83,155
things,81,156
lay,81,157
hour,80,158
round,80,159
presently,80,160
yonder,80,161
jane,79,162
too,79,163
rock,78,164
end,78,165
mr,78,166
camp,77,167
fell,76,168
brother,76,169
began,76,170
cannot,76,171
jâl,76,172
set,76,173
however,73,174
silence,72,175
sat,72,176
blood,71,177
followed,69,178
together,69,179
few,69,180
help,68,181
oh,68,182
something,68,183
length,67,184
fire,67,185
behind,67,186
mother,67,187
wish,67,188
right,67,189
settlement,66,190
red,66,191
taken,66,192
king,66,193
each,65,194
name,65,195
daughter,64,196
least,64,197
going,63,198
true,63,199
cried,63,200
days,63,201
ice,62,202
door,62,203
word,62,204
except,62,205
girl,62,206
just,62,207
thing,61,208
gave,61,209
others,60,210
forward,60,211
since,60,212
aca,60,213
brought,60,214
therefore,59,215
women,59,216
devil,59,217
arms,59,218
live,58,219
half,58,220
children,58,221
pereira,58,222
river,58,223
rose,57,224
o,57,225
snow,57,226
wife,57,227
house,57,228
soon,56,229
kill,56,230
both,56,231
food,56,232
bring,56,233
across,55,234
hear,55,235
part,54,236
hundred,54,237
whose,54,238
held,54,239
stones,54,240
dawn,54,241
queen,54,242
every,53,243
lost,53,244
temple,52,245
strange,52,246
mouth,52,247
beach,52,248
died,52,249
high,52,250
get,52,251
sun,51,252
answer,51,253
sight,51,254
best,51,255
rather,51,256
