word,frequency,rank
the,4293,1
and,3358,2
to,2968,3
of,2579,4
a,2274,5
i,2229,6
in,1788,7
you,1551,8
it,1427,9
he,1389,10
that,1367,11
her,1215,12
was,1190,13
his,1178,14
not,1093,15
with,963,16
as,870,17
she,843,18
had,794,19
have,772,20
for,768,21
said,727,22
be,714,23
at,681,24
mr,655,25
him,601,26
my,547,27
so,543,28
bounderby,540,29
on,532,30
but,521,31
me,520,32
do,510,33
this,501,34
is,490,35
by,470,36
what,454,37
if,436,38
all,431,39
no,414,40
mrs,392,41
they,390,42
am,386,43
were,374,44
there,373,45
when,358,46
your,351,47
from,347,48
or,346,49
been,337,50
would,318,51
gradgrind,316,52
an,313,53
out,304,54
which,299,55
up,299,56
sparsit,296,57
one,294,58
upon,285,59
know,283,60
louisa,271,61
now,268,62
very,263,63
will,245,64
any,240,65
sir,239,66
into,236,67
more,232,68
tom,227,69
are,219,70
who,218,71
could,217,72
never,216,73
father,216,74
little,200,75
them,194,76
about,194,77
man,193,78
say,184,79
here,183,80
stephen,182,81
can,181,82
good,181,83
time,178,84
come,177,85
then,176,86
down,173,87
did,173,88
than,171,89
much,166,90
like,165,91
well,163,92
such,163,93
before,162,94
their,162,95
again,158,96
being,157,97
night,156,98
some,156,99
face,154,100
made,153,101
has,152,102
how,151,103
old,149,104
hand,149,105
sissy,148,106
rachael,147,107
see,143,108
ma,141,109
should,141,110
returned,141,111
only,139,112
head,136,113
way,136,114
over,135,115
where,134,116
we,133,117
harthouse,133,118
may,133,119
himself,132,120
young,129,121
after,129,122
went,128,123
away,125,124
ll,122,125
go,120,126
ever,120,127
might,120,128
dear,118,129
own,117,130
think,116,131
its,116,132
too,115,133
other,111,134
eyes,111,135
better,111,136
nothing,110,137
must,109,138
coketown,109,139
these,109,140
tell,107,141
long,106,142
room,105,143
great,104,144
people,103,145
yet,103,146
another,102,147
looked,102,148
day,102,149
last,102,150
though,100,151
mind,100,152
back,100,153
take,98,154
o,97,155
woman,97,156
two,97,157
lady,97,158
always,95,159
make,94,160
look,93,161
t,93,162
off,91,163
let,90,164
ha,89,165
yes,88,166
why,87,167
got,86,168
house,86,169
quite,85,170
life,85,171
going,85,172
came,84,173
every,84,174
anything,84,175
knew,83,176
without,83,177
shall,82,178
put,81,179
took,81,180
looking,80,181
many,80,182
first,80,183
still,79,184
manner,79,185
stood,78,186
thought,77,187
fact,77,188
get,77,189
even,76,190
right,76,191
left,76,192
seen,75,193
door,75,194
wi,74,195
through,74,196
same,74,197
saw,73,198
hands,73,199
town,72,200
em,72,201
home,71,202
hear,71,203
heard,70,204
bitzer,70,205
hope,70,206
want,68,207
myself,68,208
place,67,209
while,67,210
sat,67,211
done,66,212
once,66,213
word,66,214
present,65,215
turned,64,216
moment,64,217
sleary,64,218
name,63,219
brother,63,220
us,63,221
girl,63,222
whether,63,223
give,63,224
asked,62,225
found,62,226
most,61,227
seemed,60,228
because,60,229
work,60,230
sure,59,231
something,59,232
th,59,233
poor,58,234
light,57,235
round,57,236
sister,57,237
thee,57,238
fellow,57,239
gone,57,240
those,57,241
oh,56,242
whom,56,243
tis,56,244
until,55,245
brought,55,246
believe,55,247
among,55,248
heart,55,249
mean,54,250
herself,54,251
find,53,252
against,53,253
thquire,53,254
thomas,52,255
bank,52,256
set,51,257
gentleman,51,258
part,51,259
ask,51,260
under,50,261
friend,50,262
having,50,263
james,50,264
towards,49,265
indeed,49,266
men,49,267
three,48,268
years,48,269
voice,48,270
just,48,271
morning,48,272
known,47,273
far,47,274
both,47,275
our,47,276
side,47,277
loo,46,278
keep,46,279
daughter,46,280
world,46,281
soon,45,282
perhaps,45,283
bed,45,284
rather,45,285
coming,45,286
between,45,287
yo,45,288
whelp,44,289
hard,44,290
question,44,291
whole,44,292
eye,44,293
since,44,294
mother,44,295
black,43,296
m,43,297
yourself,43,298
jupe,43,299
course,43,300
does,43,301
things,42,302
everything,42,303
kind,41,304
half,41,305
thou,41,306
bad,41,307
thing,41,308
stopped,41,309
blackpool,41,310
together,41,311
dog,40,312
enough,40,313
street,40,314
fire,40,315
hour,40,316
told,40,317
dark,39,318
re,39,319
near,38,320
children,38,321
child,38,322
miss,38,323
horse,38,324
n,37,325
cried,37,326
almost,37,327
best,37,328
chapter,37,329
speak,37,330
pretty,37,331
table,37,332
times,37,333
state,37,334
d,36,335
general,36,336
money,36,337
alone,36,338
passed,36,339
josiah,36,340
called,36,341
call,36,342
else,35,343
short,35,344
quiet,35,345
however,35,346
wish,34,347
self,34,348
end,34,349
really,34,350
suppose,34,351
twenty,34,352
hair,34,353
till,33,354
arm,33,355
thank,33,356
love,33,357
doubt,33,358
answered,33,359
interest,32,360
window,32,361
appeared,32,362
ith,32,363
business,32,364
true,32,365
late,32,366
boy,32,367
family,32,368
four,32,369
school,32,370
air,31,371
aw,31,372
leave,31,373
matter,31,374
kept,31,375
words,31,376
country,31,377
usual,31,378
sometimes,31,379
days,30,380
observed,30,381
company,30,382
began,30,383
often,30,384
used,30,385
wonder,30,386
understand,30,387
turn,30,388
taking,29,389
walked,29,390
less,29,391
mine,29,392
friends,29,393
within,29,394
rest,29,395
wanted,29,396
walk,29,397
ready,28,398
trouble,28,399
working,28,400
law,28,401
year,28,402
tears,28,403
making,28,404
felt,28,405
married,28,406
already,28,407
itself,28,408
water,28,409
themselves,28,410
corner,28,411
subject,28,412
five,27,413
gave,27,414
reason,27,415
red,27,416
repeated,27,417
moved,27,418
few,27,419
stone,27,420
confidence,27,421
taken,27,422
low,27,423
foot,27,424
fell,27,425
nor,26,426
pray,26,427
means,26,428
heavy,26,429
given,26,430
husband,26,431
sense,26,432
honour,26,433
wife,26,434
facts,26,435
along,26,436
chair,26,437
white,26,438
high,26,439
streets,26,440
figure,26,441
nature,26,442
lived,25,443
son,25,444
evening,25,445
highly,25,446
wath,25,447
childers,25,448
number,25,449
cannot,25,450
need,25,451
hundred,25,452
hours,25,453
pegler,25,454
bring,25,455
case,25,456
born,25,457
held,25,458
trust,24,459
care,24,460
object,24,461
new,24,462
lay,24,463
letter,24,464
pity,24,465
person,24,466
use,24,467
spoke,24,468
happy,24,469
stop,24,470
coom,24,471
full,23,472
hold,23,473
standing,23,474
saying,23,475
point,23,476
next,23,477
therefore,23,478
muddle,23,479
sort,23,480
smoke,23,481
ring,23,482
whatever,23,483
resumed,23,484
live,23,485
arms,23,486
read,23,487
run,22,488
road,22,489
try,22,490
raised,22,491
bit,22,492
please,22,493
turning,22,494
public,22,495
character,22,496
tried,22,497
wrong,22,498
sent,22,499
age,22,500
least,22,501
master,22,502
considered,22,503
hat,22,504
behind,22,505
ground,21,506
slackbridge,21,507
help,21,508
death,21,509
figures,21,510
fine,21,511
legs,21,512
lodge,21,513
piece,21,514
open,21,515
pursued,21,516
sake,21,517
women,21,518
strong,21,519
close,21,520
small,21,521
getting,21,522
laid,21,523
also,20,524
worked,20,525
heaven,20,526
fear,20,527
stairs,20,528
ought,20,529
cast,20,530
thus,20,531
altogether,20,532
common,20,533
ran,20,534
received,20,535
wait,20,536
fall,20,537
walking,20,538
circumstances,20,539
waiting,20,540
thinking,20,541
knows,20,542
expression,20,543
knowing,19,544
plain,19,545
rose,19,546
practical,19,547
dead,19,548
none,19,549
steps,19,550
showed,19,551
show,19,552
comes,19,553
perfectly,19,554
lips,19,555
mentioned,19,556
wind,19,557
ath,19,558
lost,19,559
shaking,19,560
except,18,561
ill,18,562
fro,18,563
position,18,564
breath,18,565
natural,18,566
candle,18,567
human,18,568
cold,18,569
power,18,570
early,18,571
lad,18,572
rain,18,573
tone,18,574
replied,18,575
certain,18,576
morrow,18,577
clear,18,578
shook,18,579
answer,18,580
particularly,18,581
different,18,582
certainly,18,583
remarkable,18,584
seem,17,585
slowly,17,586
train,17,587
pardon,17,588
glad,17,589
lying,17,590
form,17,591
instead,17,592
return,17,593
opinion,17,594
assure,17,595
sound,17,596
opened,17,597
worse,17,598
believed,17,599
became,17,600
nose,17,601
fallen,17,602
occasion,17,603
silence,17,604
unless,17,605
marriage,17,606
tea,17,607
drew,17,608
choakumchild,17,609
minutes,17,610
truth,17,611
porter,17,612
broke,17,613
act,16,614
nobody,16,615
gentlemen,16,616
further,16,617
obliged,16,618
become,16,619
quick,16,620
step,16,621
touch,16,622
speaking,16,623
ah,16,624
sitting,16,625
bent,16,626
sight,16,627
sun,16,628
office,16,629
past,16,630
effect,16,631
forehead,16,632
happened,16,633
bear,16,634
remember,16,635
account,16,636
necessary,16,637
watching,16,638
whose,16,639
possible,16,640
fancy,16,641
allow,16,642
expected,16,643
greater,15,644
particular,15,645
grass,15,646
ve,15,647
horthe,15,648
added,15,649
outside,15,650
hers,15,651
surprised,15,652
god,15,653
order,15,654
remained,15,655
distance,15,656
terms,15,657
station,15,658
closed,15,659
clock,15,660
knowledge,15,661
moral,15,662
attention,15,663
eyebrows,15,664
mouth,15,665
duty,15,666
reply,15,667
carried,15,668
either,15,669
shake,15,670
eminently,15,671
cut,15,672
breakfast,15,673
floor,15,674
consider,15,675
free,15,676
consideration,15,677
creature,15,678
above,15,679
slight,15,680
stranger,15,681
holding,14,682
seeing,14,683
education,14,684
sum,14,685
each,14,686
broken,14,687
begin,14,688
paper,14,689
spoken,14,690
body,14,691
besides,14,692
thy,14,693
several,14,694
dinner,14,695
thoughts,14,696
marry,14,697
shawl,14,698
stand,14,699
hurt,14,700
soul,14,701
scarcely,14,702
horses,14,703
view,14,704
according,14,705
ay,14,706
iron,14,707
fellows,14,708
hot,14,709
understood,14,710
neck,14,711
changed,14,712
strange,14,713
trying,14,714
usually,14,715
grown,14,716
wild,14,717
robbery,14,718
existence,14,719
safe,14,720
idea,14,721
girls,14,722
real,14,723
neither,13,724
lower,13,725
agreeable,13,726
thay,13,727
observation,13,728
ago,13,729
afterwards,13,730
meant,13,731
tight,13,732
although,13,733
system,13,734
afternoon,13,735
melancholy,13,736
bless,13,737
merrylegs,13,738
beside,13,739
message,13,740
large,13,741
offer,13,742
troubled,13,743
pleasure,13,744
express,13,745
passing,13,746
wall,13,747
strength,13,748
plainly,13,749
easily,13,750
change,13,751
doing,13,752
chimneys,13,753
crying,13,754
e,13,755
sky,13,756
pound,13,757
putting,13,758
purpose,13,759
presently,13,760
smile,13,761
darkness,13,762
probably,13,763
beg,13,764
church,13,765
proud,13,766
stay,13,767
rope,13,768
conversation,13,769
favourite,13,770
suspected,13,771
otherwise,13,772
waited,13,773
shut,13,774
respect,13,775
riding,13,776
died,12,777
inside,12,778
influence,12,779
curious,12,780
deal,12,781
bright,12,782
forty,12,783
faces,12,784
whispered,12,785
started,12,786
bottle,12,787
mile,12,788
feel,12,789
earth,12,790
nearer,12,791
wished,12,792
fast,12,793
favour,12,794
b,12,795
bound,12,796
minute,12,797
silent,12,798
thith,12,799
coat,12,800
service,12,801
showing,12,802
impossible,12,803
talk,12,804
staircase,12,805
shoulder,12,806
yesterday,12,807
letters,12,808
society,12,809
cause,12,810
worth,12,811
dozen,12,812
address,12,813
addressed,12,814
bell,12,815
hith,12,816
line,12,817
sorry,12,818
meet,12,819
talking,12,820
drawing,12,821
glass,12,822
seven,12,823
garden,12,824
giving,12,825
glanced,12,826
agen,12,827
mere,12,828
cheerful,12,829
possibly,12,830
shame,12,831
length,12,832
everybody,11,833
appearance,11,834
shadow,11,835
likely,11,836
expect,11,837
direction,11,838
merely,11,839
afraid,11,840
threw,11,841
sea,11,842
difficult,11,843
easy,11,844
sin,11,845
book,11,846
lass,11,847
mistake,11,848
leg,11,849
shadows,11,850
thousand,11,851
thousands,11,852
loose,11,853
attitude,11,854
former,11,855
slow,11,856
utmost,11,857
weather,11,858
glancing,11,859
hurried,11,860
charge,11,861
ways,11,862
humility,11,863
beyond,11,864
gold,11,865
various,11,866
lord,11,867
pleasant,11,868
chance,11,869
walls,11,870
honourable,11,871
party,11,872
honest,11,873
hearing,11,874
pain,11,875
looks,11,876
visit,11,877
connected,11,878
windlass,11,879
forth,11,880
mystery,11,881
kidderminster,11,882
living,11,883
thethilia,11,884
journey,11,885
jem,11,886
six,11,887
feeling,11,888
ridiculous,11,889
feet,11,890
aware,11,891
dare,11,892
wide,11,893
fit,11,894
followed,11,895
fond,11,896
force,11,897
brick,11,898
fair,11,899
retorted,11,900
continued,10,901
devoted,10,902
yours,10,903
listened,10,904
training,10,905
deserted,10,906
discovery,10,907
cup,10,908
able,10,909
hide,10,910
worthy,10,911
lights,10,912
bye,10,913
innocent,10,914
forward,10,915
wet,10,916
acquainted,10,917
across,10,918
action,10,919
greatest,10,920
happiness,10,921
caught,10,922
heer,10,923
w,10,924
voices,10,925
visitor,10,926
hidden,10,927
forget,10,928
forced,10,929
circumstance,10,930
clothes,10,931
drink,10,932
dust,10,933
afore,10,934
leaves,10,935
wood,10,936
laugh,10,937
land,10,938
features,10,939
excuse,10,940
building,10,941
windows,10,942
kissed,10,943
kindness,10,944
keeping,10,945
kiss,10,946
touched,10,947
satisfied,10,948
roman,10,949
quickly,10,950
nine,10,951
satisfaction,10,952
shape,10,953
observe,10,954
sleep,10,955
pleased,10,956
softly,10,957
bonnet,10,958
meaning,10,959
pockets,10,960
remark,10,961
statements,10,962
proposal,10,963
ashes,10,964
note,10,965
straight,10,966
principle,10,967
bare,10,968
pride,10,969
missus,10,970
missed,10,971
board,10,972
powler,10,973
offence,10,974
precious,10,975
says,10,976
anxious,10,977
patient,10,978
sofa,10,979
blind,10,980
below,10,981
summer,10,982
secret,10,983
machinery,10,984
supposed,10,985
arrived,10,986
anywhere,10,987
oils,10,988
similar,10,989
mak,10,990
bottom,10,991
awlus,10,992
mun,10,993
private,9,994
george,9,995
following,9,996
weak,9,997
presence,9,998
asleep,9,999
myseln,9,1000
quietly,9,1001
asking,9,1002
narrow,9,1003
speech,9,1004
fresh,9,1005
banker,9,1006
united,9,1007
national,9,1008
square,9,1009
week,9,1010
nonsense,9,1011
glance,9,1012
uth,9,1013
period,9,1014
h,9,1015
condition,9,1016
watch,9,1017
tabular,9,1018
opening,9,1019
opportunity,9,1020
suddenly,9,1021
art,9,1022
deep,9,1023
patron,9,1024
deeper,9,1025
pace,9,1026
paid,9,1027
pair,9,1028
odd,9,1029
communication,9,1030
beautiful,9,1031
singular,9,1032
pounds,9,1033
shown,9,1034
nod,9,1035
possession,9,1036
possessed,9,1037
noise,9,1038
portrait,9,1039
deadly,9,1040
ten,9,1041
notice,9,1042
points,9,1043
dignity,9,1044
places,9,1045
pit,9,1046
worn,9,1047
anybody,9,1048
pale,9,1049
speaker,9,1050
coach,9,1051
settled,9,1052
considering,9,1053
miserable,9,1054
colour,9,1055
dressed,9,1056
appears,9,1057
established,9,1058
tho,9,1059
mad,9,1060
dropped,9,1061
faith,9,1062
dry,9,1063
trembling,9,1064
tired,9,1065
main,9,1066
lives,9,1067
extremely,9,1068
scadgers,9,1069
makes,9,1070
roof,9,1071
ear,9,1072
lie,9,1073
steady,9,1074
bringing,9,1075
dress,9,1076
clown,9,1077
mistrust,9,1078
empty,9,1079
seems,9,1080
finger,9,1081
thick,9,1082
filled,9,1083
allowed,9,1084
wondering,9,1085
reference,9,1086
third,9,1087
second,9,1088
rt,9,1089
dread,9,1090
trained,9,1091
relief,9,1092
remain,9,1093
dreadful,9,1094
ends,8,1095
picture,8,1096
running,8,1097
persons,8,1098
earnest,8,1099
desire,8,1100
sufficient,8,1101
partly,8,1102
save,8,1103
appear,8,1104
sufficiently,8,1105
pass,8,1106
ears,8,1107
habit,8,1108
establishment,8,1109
hardly,8,1110
waste,8,1111
astonished,8,1112
hate,8,1113
handsome,8,1114
ceased,8,1115
eight,8,1116
fixed,8,1117
green,8,1118
during,8,1119
generally,8,1120
wretched,8,1121
reproach,8,1122
remembrance,8,1123
accustomed,8,1124
whenever,8,1125
female,8,1126
quarter,8,1127
comfort,8,1128
sharp,8,1129
fifty,8,1130
stage,8,1131
shining,8,1132
shone,8,1133
receive,8,1134
addressing,8,1135
rattling,8,1136
gentle,8,1137
required,8,1138
presented,8,1139
shop,8,1140
stick,8,1141
watched,8,1142
gradually,8,1143
pocket,8,1144
expressed,8,1145
extent,8,1146
extraordinary,8,1147
accident,8,1148
shaft,8,1149
attentive,8,1150
rising,8,1151
factory,8,1152
fairy,8,1153
post,8,1154
class,8,1155
directly,8,1156
political,8,1157
harm,8,1158
sell,8,1159
mills,8,1160
mill,8,1161
around,8,1162
miles,8,1163
sit,8,1164
led,8,1165
immense,8,1166
immediately,8,1167
somehow,8,1168
idle,8,1169
member,8,1170
hurry,8,1171
canna,8,1172
trees,8,1173
nowt,8,1174
spare,8,1175
cap,8,1176
books,8,1177
calculation,8,1178
learned,8,1179
teeth,8,1180
spirits,8,1181
affairs,8,1182
hearth,8,1183
burst,8,1184
moving,8,1185
youth,8,1186
thin,8,1187
softened,8,1188
moments,8,1189
crowd,8,1190
thirty,8,1191
compliment,8,1192
conviction,8,1193
unnatural,8,1194
contrary,8,1195
triumph,8,1196
brothers,8,1197
laws,8,1198
matters,8,1199
midst,8,1200
breast,8,1201
london,8,1202
heat,8,1203
break,8,1204
heavily,8,1205
belief,8,1206
brandy,8,1207
simple,8,1208
ower,8,1209
loom,8,1210
surgeon,8,1211
others,8,1212
suspicion,8,1213
loved,8,1214
loving,8,1215
twelve,8,1216
occasions,8,1217
material,8,1218
hoped,8,1219
admiration,8,1220
tip,7,1221
ladies,7,1222
star,7,1223
refuge,7,1224
model,7,1225
lifted,7,1226
resolved,7,1227
circus,7,1228
everywhere,7,1229
sensible,7,1230
dream,7,1231
elsewhere,7,1232
mistakes,7,1233
eighteen,7,1234
considerable,7,1235
blue,7,1236
thief,7,1237
works,7,1238
throw,7,1239
finish,7,1240
muth,7,1241
loss,7,1242
exactly,7,1243
example,7,1244
fifteen,7,1245
finally,7,1246
seek,7,1247
appearing,7,1248
absurd,7,1249
cost,7,1250
