word,frequency,rank
the,9596,1
and,5395,2
to,3944,3
of,3844,4
a,3760,5
he,2497,6
in,2375,7
his,2344,8
that,1954,9
i,1871,10
it,1871,11
was,1804,12
you,1761,13
with,1564,14
not,1434,15
as,1323,16
had,1239,17
said,1232,18
for,1154,19
mr,1071,20
him,1068,21
at,991,22
on,940,23
which,877,24
oliver,851,25
this,801,26
her,788,27
have,780,28
by,777,29
be,773,30
is,738,31
but,726,32
they,725,33
from,630,34
do,629,35
all,611,36
if,604,37
me,601,38
so,597,39
she,593,40
no,587,41
there,566,42
were,555,43
what,549,44
who,523,45
my,510,46
up,502,47
or,499,48
when,494,49
very,489,50
upon,477,51
replied,464,52
been,462,53
into,461,54
one,460,55
would,449,56
old,444,57
out,413,58
man,397,59
bumble,395,60
some,390,61
an,386,62
them,367,63
more,354,64
sikes,352,65
will,351,66
your,337,67
gentleman,333,68
time,329,69
are,322,70
jew,321,71
boy,313,72
fagin,306,73
could,301,74
their,298,75
know,297,76
here,288,77
young,288,78
down,284,79
now,280,80
dear,277,81
little,276,82
himself,270,83
before,268,84
mrs,265,85
come,254,86
again,253,87
then,250,88
back,247,89
great,245,90
good,245,91
well,245,92
than,241,93
other,238,94
door,238,95
we,235,96
can,234,97
girl,234,98
any,232,99
head,226,100
over,226,101
lady,225,102
after,223,103
about,221,104
night,220,105
two,215,106
did,214,107
way,213,108
see,213,109
sir,210,110
am,206,111
hand,205,112
eyes,204,113
rose,203,114
too,203,115
ll,203,116
much,202,117
where,201,118
should,199,119
being,197,120
room,195,121
say,195,122
only,193,123
never,193,124
away,189,125
such,188,126
these,188,127
made,187,128
cried,182,129
face,175,130
has,173,131
brownlow,171,132
like,170,133
first,167,134
long,165,135
think,165,136
house,164,137
might,164,138
look,161,139
looked,160,140
how,159,141
without,155,142
round,153,143
same,151,144
take,147,145
looking,143,146
once,142,147
off,140,148
day,140,149
many,137,150
own,136,151
monks,136,152
oh,136,153
noah,134,154
go,134,155
its,134,156
came,133,157
woman,132,158
let,132,159
having,130,160
must,129,161
left,128,162
got,126,163
through,126,164
make,126,165
may,126,166
doctor,125,167
every,125,168
hands,124,169
place,124,170
another,123,171
why,123,172
tell,123,173
mind,122,174
us,121,175
turned,121,176
even,121,177
nothing,119,178
dodger,119,179
child,119,180
most,119,181
giles,119,182
shall,118,183
better,116,184
yes,116,185
master,115,186
nancy,115,187
took,112,188
done,112,189
life,112,190
voice,112,191
few,112,192
men,111,193
half,111,194
inquired,111,195
hear,110,196
asked,109,197
put,108,198
words,107,199
thought,106,200
seemed,105,201
enough,105,202
bill,105,203
rejoined,104,204
table,104,205
get,103,206
under,102,207
last,102,208
three,101,209
something,100,210
heard,100,211
returned,99,212
right,99,213
maylie,98,214
poor,98,215
morning,97,216
people,97,217
sat,96,218
still,96,219
while,95,220
re,95,221
quite,94,222
bates,94,223
those,94,224
towards,94,225
indeed,94,226
went,94,227
friend,93,228
light,93,229
heart,93,230
beadle,92,231
chair,91,232
ha,89,233
moment,88,234
word,87,235
side,86,236
just,86,237
sowerberry,86,238
ever,86,239
street,86,240
em,84,241
charley,83,242
give,83,243
home,82,244
yer,82,245
small,82,246
going,81,247
rather,81,248
against,81,249
name,80,250
dark,79,251
brought,79,252
ma,79,253
saw,79,254
fire,77,255
though,77,256
d,77,257
new,77,258
ve,77,259
short,75,260
until,75,261
anything,75,262
dog,75,263
between,74,264
keep,74,265
passed,73,266
manner,73,267
turning,73,268
walked,73,269
gone,73,270
mother,73,271
want,72,272
air,72,273
taken,72,274
mean,72,275
our,71,276
speak,70,277
behind,70,278
open,69,279
whether,69,280
window,68,281
almost,68,282
length,68,283
hat,68,284
cold,68,285
hope,67,286
till,67,287
boys,67,288
close,67,289
white,66,290
seen,66,291
together,65,292
water,65,293
grimwig,65,294
large,65,295
whom,65,296
corney,65,297
dead,65,298
knew,64,299
full,64,300
course,64,301
matter,63,302
told,63,303
low,63,304
pocket,63,305
fell,63,306
lay,63,307
toby,62,308
m,61,309
matron,61,310
stood,61,311
yet,61,312
chapter,61,313
death,61,314
nor,60,315
next,60,316
soon,60,317
hard,59,318
eye,59,319
began,59,320
mann,59,321
far,59,322
drew,59,323
thing,59,324
alone,59,325
ground,58,326
bed,58,327
harry,58,328
spoke,57,329
followed,57,330
person,57,331
perhaps,57,332
felt,57,333
part,57,334
among,57,335
twist,57,336
taking,57,337
exclaimed,57,338
silence,57,339
tears,56,340
always,56,341
help,55,342
gave,55,343
stop,55,344
brittles,55,345
best,54,346
strong,54,347
corner,54,348
because,54,349
appeared,54,350
sure,54,351
both,53,352
women,53,353
stopped,53,354
fear,53,355
instant,53,356
although,52,357
found,52,358
claypole,52,359
nobody,52,360
arm,51,361
charlotte,51,362
each,51,363
reply,51,364
along,51,365
hour,51,366
yourself,51,367
care,51,368
end,50,369
undertaker,50,370
within,50,371
london,50,372
streets,50,373
kind,50,374
work,49,375
ah,49,376
making,49,377
near,49,378
whose,49,379
years,49,380
deep,48,381
happy,48,382
heavy,48,383
times,48,384
business,48,385
minutes,48,386
feet,48,387
herself,48,388
companion,47,389
deal,47,390
coat,47,391
ill,47,392
five,47,393
raised,46,394
noise,46,395
town,46,396
losberne,46,397
sound,46,398
opened,46,399
love,46,400
led,46,401
however,46,402
public,45,403
cry,45,404
days,45,405
bolter,45,406
leave,45,407
hold,45,408
miss,44,409
above,44,410
world,44,411
drawing,44,412
already,44,413
hastily,44,414
road,44,415
friends,44,416
workhouse,44,417
set,44,418
observed,43,419
wish,43,420
candle,43,421
fellow,43,422
sight,43,423
called,43,424
board,43,425
appearance,43,426
held,43,427
means,43,428
money,42,429
die,42,430
thus,42,431
countenance,42,432
eh,42,433
find,42,434
stranger,42,435
coming,42,436
floor,42,437
whole,42,438
themselves,42,439
known,41,440
kept,41,441
pale,41,442
book,41,443
suppose,41,444
things,41,445
suddenly,40,446
blood,40,447
forward,40,448
bad,40,449
entered,40,450
purpose,40,451
walk,40,452
stairs,39,453
waistcoat,39,454
demanded,39,455
question,39,456
reached,39,457
thoughts,39,458
glass,39,459
afterwards,39,460
afraid,38,461
forth,38,462
office,38,463
state,38,464
minute,38,465
died,38,466
show,38,467
crackit,38,468
loud,38,469
high,37,470
wall,37,471
often,37,472
less,37,473
sleep,37,474
feel,37,475
quiet,37,476
remained,37,477
closed,37,478
arms,37,479
need,37,480
conversation,37,481
company,36,482
gate,36,483
nature,36,484
faces,36,485
none,36,486
run,36,487
lost,36,488
chitling,36,489
blathers,36,490
pretty,36,491
distance,36,492
twenty,36,493
hurried,36,494
bear,35,495
talk,35,496
laugh,35,497
added,35,498
says,35,499
god,35,500
tone,35,501
hair,35,502
carried,35,503
object,35,504
fast,34,505
shook,34,506
shop,34,507
fang,34,508
struck,34,509
body,34,510
send,34,511
wot,34,512
attention,34,513
scarcely,34,514
turn,33,515
number,33,516
case,33,517
father,33,518
barney,33,519
nodded,33,520
upstairs,33,521
call,33,522
point,33,523
ladies,33,524
foot,33,525
ten,33,526
breath,33,527
strange,33,528
past,32,529
running,32,530
parish,32,531
crowd,32,532
outside,32,533
power,32,534
itself,32,535
sometimes,32,536
heaven,32,537
country,32,538
nearly,32,539
silent,32,540
subject,31,541
truth,31,542
sitting,31,543
black,31,544
shut,31,545
mouth,31,546
passage,31,547
red,31,548
worse,31,549
others,31,550
ran,31,551
use,31,552
ready,31,553
view,30,554
myself,30,555
coach,30,556
does,30,557
ai,30,558
pound,30,559
hours,30,560
repeated,30,561
given,30,562
slowly,30,563
softly,30,564
quickly,30,565
fixed,30,566
interposed,30,567
laid,30,568
four,30,569
either,30,570
hung,30,571
laying,30,572
step,30,573
fact,30,574
besides,30,575
lips,30,576
legs,30,577
stand,29,578
children,29,579
able,29,580
putting,29,581
creature,29,582
gentlemen,29,583
reason,29,584
effect,29,585
direction,29,586
ago,29,587
books,29,588
handkerchief,29,589
gentle,29,590
speaking,29,591
top,29,592
ask,29,593
violent,29,594
spot,29,595
green,29,596
former,28,597
across,28,598
threw,28,599
caught,28,600
wanted,28,601
really,28,602
officer,28,603
beneath,28,604
neither,28,605
interest,28,606
box,28,607
opposite,28,608
pace,28,609
