word,frequency,rank
the,11495,1
of,7152,2
and,6283,3
to,5178,4
i,2952,5
in,2816,6
a,2635,7
her,2319,8
was,2296,9
that,1896,10
my,1819,11
his,1808,12
with,1684,13
had,1515,14
she,1329,15
he,1328,16
on,1166,17
it,1150,18
for,1126,19
by,1122,20
as,1108,21
we,1086,22
not,1077,23
from,1059,24
me,997,25
were,959,26
but,911,27
our,901,28
this,884,29
at,843,30
which,835,31
be,737,32
their,679,33
all,641,34
you,635,35
him,624,36
is,575,37
they,527,38
one,497,39
would,497,40
have,495,41
its,490,42
now,475,43
an,459,44
or,458,45
us,451,46
when,422,47
no,403,48
them,390,49
could,378,50
been,378,51
raymond,370,52
will,368,53
so,361,54
while,349,55
who,338,56
life,335,57
if,325,58
more,323,59
adrian,317,60
heart,299,61
what,287,62
yet,283,63
even,282,64
should,278,65
are,276,66
up,275,67
before,274,68
these,274,69
love,272,70
there,262,71
time,258,72
man,251,73
into,244,74
every,239,75
only,239,76
than,236,77
such,234,78
each,231,79
through,231,80
then,231,81
idris,230,82
perdita,230,83
some,228,84
first,225,85
again,221,86
might,221,87
must,220,88
death,218,89
over,217,90
day,215,91
did,214,92
your,205,93
do,203,94
eyes,202,95
said,201,96
made,198,97
own,197,98
long,197,99
last,193,100
other,185,101
like,183,102
whose,176,103
still,175,104
earth,174,105
never,171,106
after,170,107
nature,170,108
any,170,109
out,169,110
myself,168,111
among,164,112
nor,160,113
those,160,114
many,158,115
ever,156,116
world,151,117
thus,151,118
night,150,119
hope,150,120
thought,149,121
upon,149,122
though,147,123
hand,142,124
can,141,125
where,140,126
mother,140,127
fear,139,128
england,139,129
am,138,130
power,137,131
saw,135,132
part,132,133
plague,129,134
mind,129,135
came,128,136
little,127,137
about,127,138
human,127,139
spirit,127,140
felt,125,141
herself,125,142
became,123,143
country,122,144
moment,122,145
windsor,121,146
shall,121,147
has,121,148
found,121,149
come,120,150
very,119,151
himself,119,152
voice,119,153
sea,118,154
being,118,155
under,118,156
how,118,157
air,116,158
same,116,159
lost,116,160
may,115,161
towards,115,162
seemed,115,163
here,114,164
few,113,165
gave,112,166
alone,111,167
see,111,168
during,110,169
entered,110,170
years,110,171
passed,109,172
looked,108,173
children,108,174
change,108,175
far,108,176
dear,107,177
dead,107,178
down,107,179
friend,106,180
without,105,181
left,104,182
once,103,183
light,103,184
well,102,185
sun,102,186
days,102,187
near,101,188
clara,100,189
return,100,190
present,100,191
let,99,192
soon,99,193
soul,99,194
heard,99,195
away,97,196
take,96,197
new,96,198
most,94,199
men,94,200
till,93,201
become,92,202
high,91,203
another,91,204
find,91,205
words,91,206
london,91,207
child,91,208
state,90,209
too,90,210
father,88,211
thoughts,88,212
dark,87,213
good,87,214
appeared,86,215
sister,86,216
back,85,217
half,85,218
went,84,219
old,84,220
place,83,221
feeling,83,222
name,83,223
scene,83,224
poor,83,225
lord,82,226
stood,82,227
die,81,228
look,81,229
whole,81,230
tears,80,231
head,80,232
make,79,233
house,77,234
misery,77,235
great,77,236
deep,77,237
much,77,238
beloved,77,239
cried,76,240
lay,75,241
beauty,75,242
already,75,243
whom,74,244
form,73,245
happiness,73,246
brought,73,247
against,73,248
turned,72,249
since,72,250
care,72,251
two,72,252
wild,72,253
o,71,254
longer,70,255
wind,70,256
happy,70,257
between,70,258
replied,69,259
better,69,260
feel,69,261
way,69,262
cold,68,263
spoke,68,264
continued,68,265
length,68,266
city,67,267
themselves,67,268
sorrow,67,269
hour,67,270
knew,66,271
loved,66,272
hopes,66,273
took,65,274
home,65,275
sat,65,276
hands,65,277
died,65,278
go,65,279
evadne,65,280
within,64,281
countenance,64,282
small,64,283
gone,63,284
evening,63,285
leave,63,286
times,63,287
struck,63,288
full,63,289
strange,63,290
land,63,291
morning,63,292
sight,62,293
strength,62,294
know,62,295
remained,62,296
often,62,297
off,61,298
pleasure,61,299
trees,61,300
end,61,301
young,61,302
idea,61,303
called,61,304
open,60,305
past,60,306
affection,60,307
face,60,308
grief,60,309
also,59,310
youth,59,311
friends,59,312
hours,59,313
best,59,314
arrived,59,315
arms,58,316
winter,58,317
round,58,318
town,58,319
forth,58,320
fell,58,321
filled,58,322
despair,58,323
disease,57,324
less,57,325
brow,57,326
returned,57,327
delight,57,328
together,57,329
why,56,330
around,56,331
endeavoured,56,332
side,56,333
greece,56,334
castle,56,335
self,56,336
rose,56,337
abode,56,338
people,55,339
society,55,340
girl,55,341
gentle,55,342
rest,55,343
appearance,55,344
pain,54,345
ocean,54,346
suddenly,54,347
above,54,348
say,54,349
early,54,350
added,54,351
blood,54,352
perhaps,54,353
native,54,354
itself,53,355
live,53,356
sweet,53,357
true,53,358
taken,53,359
thy,53,360
beneath,53,361
thousand,52,362
give,52,363
almost,52,364
deserted,52,365
health,52,366
beyond,52,367
waves,52,368
joy,52,369
late,51,370
lips,51,371
set,51,372
wonder,51,373
future,51,374
cast,51,375
god,51,376
sought,51,377
ryland,51,378
sense,51,379
forward,50,380
sometimes,50,381
truth,50,382
until,50,383
ill,50,384
heaven,50,385
wide,50,386
door,50,387
word,50,388
neither,50,389
danger,49,390
beside,49,391
things,49,392
course,49,393
seek,49,394
year,49,395
summer,49,396
spread,48,397
painful,48,398
lived,48,399
changed,48,400
evil,48,401
spot,48,402
right,48,403
vast,48,404
led,48,405
farewell,48,406
close,48,407
feelings,48,408
influence,47,409
melancholy,47,410
waters,47,411
save,47,412
received,47,413
seen,47,414
read,47,415
sky,47,416
pestilence,47,417
journey,47,418
companion,47,419
thou,47,420
protector,47,421
fate,47,422
sound,47,423
grave,47,424
however,46,425
others,46,426
task,46,427
possessed,46,428
followed,46,429
ground,46,430
think,45,431
cannot,45,432
having,45,433
object,45,434
person,45,435
limbs,45,436
caused,45,437
companions,45,438
wish,44,439
met,44,440
given,44,441
speak,44,442
behind,44,443
cottage,44,444
music,44,445
silence,44,446
nothing,44,447
ourselves,44,448
former,44,449
living,44,450
eye,44,451
fellow,44,452
put,44,453
began,43,454
race,43,455
existence,43,456
hardly,43,457
pride,43,458
coming,43,459
brother,43,460
forest,43,461
ambition,43,462
noble,43,463
sympathy,43,464
walls,43,465
repose,42,466
party,42,467
presented,42,468
greek,42,469
calm,42,470
